         6746 function calls (6514 primitive calls) in 0.006 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       41    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       65    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       16    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
       54    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       16    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
       41    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        6    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        2    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
       48    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       88    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       32    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      8/5    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.000    0.000 subprocess.py:749(Popen)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       14    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       16    0.000    0.000    0.000    0.000 enum.py:726(__call__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       77    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        3    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       52    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       59    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       41    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
       53    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        4    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
        9    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        2    0.000    0.000    0.000    0.000 selectors.py:588(_can_use)
        7    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
       59    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       33    0.000    0.000    0.000    0.000 {built-in method _json.encode_basestring_ascii}
       13    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 encoder.py:205(iterencode)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       34    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
